customer_id,registered_date
C871391L,2022-04-17
C822661L,2022-02-28
C575719L,2022-05-01
C329062L,2022-02-09
C159766L,2022-03-20
C226430L,2022-05-08
C326720L,2021-07-08
C512759L,2022-06-25
C957057L,2022-05-12
C930191L,2022-06-04
C732924L,2022-01-04
C958287L,2021-07-15
C819397L,2022-04-05
C954205L,2022-03-21
C601425L,2022-06-13
C317259L,2022-05-04
C542963L,2021-11-09
C822231L,2022-05-21
C359917L,2021-08-21
C679223L,2022-02-20
C954151L,2022-05-17
C278051L,2022-07-18
C181436L,2021-11-01
C440667L,2022-04-27
C176721L,2021-10-19
C727522L,2022-01-28
C285417L,2022-04-18
C854263L,2022-07-25
C820507L,2022-05-07
C890087L,2022-06-10
C403187L,2021-11-26
C519112L,2022-06-24
C137305L,2022-04-16
C416181L,2021-10-20
C461801L,2022-04-08
C725037L,2022-06-20
C390206L,2021-07-13
C916513L,2021-12-23
C488014L,2022-04-19
C637337L,2021-11-25
C487094L,2022-01-25
C494548L,2022-07-15
C874059L,2022-01-16
C263041L,2021-12-23
C354503L,2022-02-07
C831683L,2021-07-03
C663962L,2021-07-13
C382868L,2021-07-07
C340278L,2022-05-14
C554024L,2022-05-09
C874790L,2022-02-10
C568016L,2022-03-24
C933480L,2022-07-10
C922717L,2021-11-15
C529046L,2021-10-01
C719440L,2022-05-16
C835970L,2022-02-25
C738812L,2022-08-22
C838641L,2022-05-12
C588523L,2021-11-17
C487528L,2022-02-22
C438548L,2022-03-20
C939411L,2021-11-21
C374672L,2021-07-17
C700491L,2022-07-03
C904890L,2022-04-05
C775266L,2022-06-17
C339498L,2022-06-19
C893754L,2021-07-03
C451930L,2022-05-13
C915214L,2021-11-23
C421020L,2022-07-07
C491779L,2022-06-23
C610206L,2022-04-12
C839869L,2022-02-25
C344605L,2022-05-23
C813361L,2021-09-14
C483017L,2022-06-24
C631417L,2022-03-07
C317777L,2021-12-06
C368601L,2022-05-04
C697826L,2021-09-01
C349980L,2021-07-02
C326061L,2022-06-21
C287400L,2022-03-27
C861782L,2022-04-22
C799285L,2022-03-02
C794985L,2021-11-15
C787211L,2022-06-22
C680487L,2022-07-16
C414773L,2022-06-16
C562441L,2022-05-26
C183259L,2022-06-05
C351531L,2022-01-19
C145727L,2021-09-10
C795566L,2021-09-05
C505120L,2022-06-08
C178509L,2022-05-04
C289178L,2022-05-11
C500995L,2022-05-11
C552222L,2022-05-04
C292043L,2022-03-15
C527600L,2022-07-19
C446430L,2022-03-10
C297159L,2022-04-13
C717221L,2021-07-13
C495676L,2021-11-26
C585116L,2022-06-16
C623160L,2022-03-12
C446527L,2022-05-11
C843167L,2022-04-20
C478613L,2022-08-01
C269751L,2022-05-04
C394285L,2022-07-07
C690725L,2022-05-04
C864684L,2022-04-04
C574804L,2022-02-13
C628603L,2022-04-24
C635713L,2022-06-11
C270275L,2021-11-25
C272151L,2021-10-12
C242882L,2022-01-24
C798016L,2022-06-05
C318081L,2022-06-17
C434444L,2021-07-13
C849740L,2021-07-20
C115129L,2021-11-15
C678301L,2022-06-01
C483469L,2021-07-26
C157544L,2021-11-18
C120098L,2022-05-21
C925840L,2022-08-28
C448722L,2021-11-19
C139500L,2022-01-14
C755472L,2022-01-09
C454160L,2022-02-16
C527463L,2022-03-19
C788348L,2022-08-25
C528351L,2022-06-09
C839720L,2022-03-19
C885565L,2021-09-10
C988571L,2022-06-17
C779932L,2021-11-21
C148834L,2022-07-19
C337702L,2022-02-05
C757915L,2021-09-08
C249842L,2022-05-03
C459720L,2021-12-16
C545786L,2022-04-11
C214165L,2022-06-16
C378820L,2022-05-12
C985354L,2021-10-02
C248585L,2022-07-10
C309247L,2022-05-08
C231714L,2022-01-28
C283866L,2021-07-18
C976932L,2022-01-16
C232704L,2022-06-02
C362779L,2022-07-07
C572593L,2022-06-12
C280043L,2022-04-04
C711453L,2022-06-03
C628207L,2022-01-03
C951338L,2022-03-27
C837241L,2022-06-11
C265593L,2022-06-23
C558351L,2021-11-05
C689062L,2022-02-12
C764741L,2022-04-20
C535886L,2022-05-17
C495308L,2022-07-28
C919222L,2021-11-28
C730593L,2022-05-08
C499098L,2022-05-11
C119394L,2021-12-02
C445624L,2021-09-19
C317976L,2021-11-26
C471304L,2022-05-13
C963796L,2022-05-04
C738725L,2021-08-27
C413047L,2022-03-12
C928388L,2022-03-10
C475783L,2022-05-01
C907159L,2022-03-26
C363835L,2022-05-24
C354444L,2022-05-26
C266766L,2022-08-14
C329226L,2022-05-18
C576952L,2021-12-18
C653797L,2022-04-03
C689707L,2022-04-13
C371644L,2022-01-10
C196720L,2021-07-23
C438658L,2021-09-08
C943435L,2022-01-06
C888130L,2022-07-13
C660544L,2022-03-07
C431390L,2022-01-28
C465666L,2022-05-05
C144215L,2022-06-14
C551324L,2021-12-08
C813665L,2022-07-20
C715337L,2022-06-11
C930543L,2022-08-21
C937948L,2021-11-25
C707750L,2022-03-28
C324759L,2022-07-04
C183230L,2021-12-17
C920427L,2022-03-14
C575920L,2022-03-24
C978558L,2021-09-08
C791059L,2022-07-08
C393272L,2022-03-02
C560023L,2022-08-10
C355869L,2022-03-23
C210337L,2022-06-26
C259517L,2022-01-19
C789047L,2022-01-26
C370584L,2022-04-01
C643176L,2022-05-06
C658753L,2022-01-27
C259981L,2021-09-01
C712908L,2021-08-03
C683241L,2022-07-11
C745528L,2022-03-05
C719704L,2022-06-18
C325659L,2022-08-15
C238230L,2022-07-08
C317585L,2022-04-25
C654926L,2022-06-19
C466867L,2022-08-28
C212002L,2022-01-06
C823922L,2022-01-15
C775669L,2022-06-07
C667729L,2021-09-15
C191766L,2021-07-05
C539086L,2022-04-19
C444739L,2022-05-24
C678059L,2022-07-04
C144554L,2022-03-13
C908803L,2022-04-20
C299714L,2022-05-02
C975587L,2021-09-28
C418656L,2022-02-08
C367865L,2022-06-21
C145580L,2022-04-08
C677243L,2022-03-08
C931263L,2022-01-27
C877563L,2022-08-24
C168992L,2022-04-10
C630030L,2021-09-15
C246740L,2022-04-16
C821812L,2022-06-06
C849054L,2021-11-04
C849967L,2021-07-02
C505171L,2022-03-01
C886643L,2022-08-19
C460610L,2022-05-16
C551481L,2021-11-12
C828137L,2022-03-19
C612225L,2022-04-24
C439027L,2022-05-20
C886226L,2022-06-18
C374256L,2021-10-22
C350808L,2021-11-04
C134876L,2022-03-28
C909857L,2022-04-02
C114766L,2022-01-28
C382393L,2022-01-24
C923763L,2022-04-08
C502254L,2022-03-12
C735239L,2021-08-28
C275380L,2022-07-28
C593294L,2022-05-07
C225403L,2022-07-19
C431005L,2022-01-22
C210865L,2022-02-18
C674696L,2022-07-18
C995774L,2022-02-18
C870920L,2021-09-27
C318171L,2022-03-09
C954865L,2022-05-26
C712686L,2022-05-16
C107850L,2022-08-03
C567297L,2022-02-26
C475398L,2022-04-06
C169455L,2022-03-24
C426604L,2021-11-08
C302804L,2021-11-27
C194239L,2021-12-22
C330163L,2022-03-11
C774989L,2022-04-15
C745297L,2022-04-24
C546010L,2021-09-07
C593068L,2022-08-21
C560000L,2021-10-06
C486028L,2022-04-08
C606851L,2022-06-05
C989951L,2021-11-25
C579215L,2022-02-12
C293646L,2022-06-02
C906123L,2022-06-13
C972737L,2021-07-21
C773013L,2022-07-06
C781833L,2022-04-24
C491588L,2022-06-07
C690363L,2022-07-19
C126124L,2021-07-04
C935534L,2022-06-15
C738195L,2022-04-11
C338431L,2022-08-21
C242250L,2022-02-03
C300246L,2022-03-22
C606674L,2022-03-14
C323025L,2022-06-28
C141629L,2021-10-11
C308277L,2022-07-26
C464051L,2022-05-06
C949390L,2022-06-03
C796755L,2022-06-22
C883602L,2022-06-12
C546633L,2022-01-09
C171924L,2022-01-21
C115470L,2022-06-11
C983372L,2022-03-18
C146757L,2022-04-08
C402823L,2022-06-15
C304632L,2021-11-23
C461943L,2022-05-09
C928680L,2021-08-06
C176299L,2022-03-02
C443586L,2022-01-01
C751652L,2021-11-20
C499993L,2022-03-15
C382290L,2022-05-15
C546814L,2021-11-02
C890308L,2021-12-27
C417461L,2022-01-27
C541864L,2022-03-22
C176332L,2022-05-06
C862094L,2022-05-13
C890325L,2022-05-02
C795882L,2022-05-02
C533158L,2022-06-25
C742231L,2022-03-08
C205939L,2022-02-10
C324312L,2022-01-28
C136210L,2021-09-21
C174427L,2022-06-18
C148697L,2022-07-16
C201512L,2022-07-12
C922594L,2021-12-04
C375089L,2022-04-18
C867913L,2022-01-24
C297572L,2022-04-20
C589059L,2022-05-06
C956206L,2022-04-15
C152073L,2022-05-15
C337705L,2022-05-01
C667533L,2022-03-17
C803978L,2022-07-14
C409862L,2022-04-27
C520835L,2022-04-03
C214179L,2022-04-03
C297614L,2022-04-02
C227184L,2021-08-02
C738655L,2022-04-15
C976924L,2022-07-08
C309123L,2022-02-11
C575975L,2022-03-02
C904928L,2022-05-18
C812812L,2022-06-16
C914122L,2022-02-08
C820267L,2022-07-05
C708585L,2022-06-19
C203955L,2022-07-14
C538751L,2022-05-10
C493263L,2022-01-04
C355709L,2022-04-10
C562634L,2021-11-18
C814555L,2022-05-24
C224432L,2022-01-02
C634745L,2021-09-09
C180508L,2022-06-18
C825985L,2022-05-16
C117628L,2022-05-16
C736100L,2022-05-13
C292536L,2021-07-09
C418081L,2022-06-03
C607754L,2022-02-18
C157296L,2022-05-23
C317311L,2022-02-09
C220760L,2022-02-11
C813440L,2022-05-03
C448709L,2022-07-05
C510816L,2022-04-14
C728469L,2022-02-15
C194983L,2022-01-27
C541149L,2022-01-05
C746876L,2022-01-28
C198678L,2022-03-10
C650707L,2022-02-22
C970697L,2022-06-26
C759150L,2022-05-17
C949082L,2022-06-21
C774677L,2022-02-01
C452344L,2022-06-01
C234415L,2021-11-19
C754495L,2021-07-11
C791023L,2021-11-02
C617057L,2022-06-03
C301035L,2022-07-21
C850185L,2022-05-07
C360482L,2021-12-12
C175302L,2021-11-09
C587425L,2022-03-22
C419677L,2022-07-23
C805381L,2022-04-13
C415016L,2021-11-19
C200057L,2022-01-21
C758455L,2022-01-07
C548952L,2022-06-02
C540389L,2022-03-05
C927765L,2022-01-12
C901597L,2021-12-21
C549364L,2022-06-17
C325085L,2022-03-04
C678332L,2022-07-23
C655655L,2022-02-09
C643883L,2021-11-17
C504470L,2022-04-11
C317146L,2022-05-03
C999472L,2021-07-20
C182622L,2022-04-08
C228470L,2022-05-28
C553296L,2022-05-12
C110122L,2022-08-14
C265450L,2022-02-17
C807679L,2022-07-20
C598964L,2022-01-07
C285749L,2022-08-23
C993996L,2022-03-22
C995819L,2022-07-21
C180595L,2022-04-22
C826406L,2022-05-04
C943127L,2022-08-12
C652463L,2022-05-26
C137118L,2022-04-05
C735964L,2022-03-11
C387663L,2022-05-02
C867007L,2022-06-05
C863590L,2022-03-10
C257393L,2021-11-09
C254201L,2022-05-15
C925101L,2022-03-28
C426132L,2022-05-25
C331122L,2022-04-09
C779296L,2022-05-04
C415003L,2022-04-06
C242737L,2022-05-20
C732158L,2022-03-23
C816287L,2022-05-18
C575300L,2022-06-20
C910919L,2022-07-21
C650820L,2022-03-21
C566330L,2022-05-10
C601204L,2022-04-28
C452972L,2022-04-21
C240853L,2022-06-02
C737717L,2022-03-01
C440374L,2021-10-02
C766353L,2022-04-20
C875408L,2022-03-05
C782569L,2022-08-10
C475080L,2022-04-27
C275774L,2022-04-27
C561993L,2022-05-10
C243149L,2021-11-16
C375865L,2022-07-20
C702521L,2021-09-08
C893408L,2022-07-25
C405772L,2022-05-02
C468569L,2022-02-15
C821685L,2022-05-15
C638768L,2022-01-22
C862627L,2022-04-10
C626266L,2022-02-25
C600018L,2022-01-16
C866259L,2022-06-04
C321679L,2022-06-10
C619834L,2022-07-23
C175928L,2022-05-13
C911481L,2022-03-22
C849804L,2022-05-21
C688872L,2021-09-07
C432990L,2022-07-19
C390635L,2022-04-23
C543271L,2021-10-21
C549224L,2022-03-12
C968454L,2022-01-14
C361787L,2021-11-20
C552065L,2022-06-27
C236137L,2021-10-07
C621610L,2022-07-13
C800316L,2022-01-27
C411376L,2022-06-28
C186002L,2022-07-25
C693415L,2022-04-12
C539168L,2021-11-17
C499302L,2022-07-13
C773860L,2022-05-19
C560959L,2022-06-01
C336567L,2022-02-03
C533504L,2022-05-12
C222341L,2021-11-20
C807487L,2021-11-26
C333743L,2021-07-07
C566168L,2022-04-09
C543805L,2022-07-01
C415262L,2022-01-14
C315164L,2021-11-05
C303491L,2022-06-01
C298406L,2021-08-21
C818119L,2022-05-11
C261226L,2022-05-17
C570821L,2022-07-05
C697518L,2022-06-06
C228751L,2022-04-17
C341015L,2022-06-18
C559107L,2021-12-13
C272818L,2022-05-07
C802022L,2022-06-08
C141366L,2022-02-17
C302068L,2022-03-09
C601564L,2022-02-07
C763177L,2022-07-18
C835751L,2022-03-26
C495199L,2022-03-11
C732517L,2022-07-22
C776042L,2022-07-11
C543751L,2022-04-24
C685247L,2022-03-17
C153430L,2022-01-27
C522507L,2022-05-27
C521935L,2021-11-22
C671880L,2022-05-22
C356347L,2021-11-28
C383266L,2022-08-13
C564260L,2022-02-23
C167482L,2022-02-17
C447712L,2022-02-24
C304906L,2022-05-01
C380765L,2022-07-21
C910877L,2022-01-19
C282103L,2022-05-06
C306419L,2022-02-21
C440306L,2022-06-23
C491806L,2022-05-04
C132041L,2022-04-05
C522289L,2022-02-10
C353808L,2022-05-09
C675127L,2022-02-16
C510154L,2022-07-17
C691189L,2022-06-21
C379450L,2022-02-02
C990726L,2022-03-16
C706912L,2022-05-09
C994155L,2022-01-27
C917631L,2022-01-06
C193600L,2022-08-09
C675024L,2021-09-26
C163269L,2021-11-24
C364511L,2022-02-06
C966450L,2022-05-14
C862535L,2022-05-18
C713425L,2021-09-21
C203175L,2022-06-14
C162721L,2021-07-26
C423010L,2022-02-09
C666013L,2022-04-22
C291019L,2022-02-14
C998017L,2021-11-14
C206269L,2022-03-13
C806991L,2022-05-20
C533294L,2022-03-14
C803470L,2021-10-25
C670878L,2022-03-15
C127184L,2022-04-09
C873482L,2022-02-18
C299959L,2021-10-25
C632012L,2022-06-28
C653565L,2022-06-09
C279241L,2021-09-25
C337184L,2022-01-04
C343220L,2021-10-04
C579669L,2022-02-23
C506457L,2022-03-16
C430127L,2022-07-03
C509023L,2021-12-17
C350869L,2022-07-04
C160389L,2021-11-06
C853288L,2022-01-28
C287376L,2022-05-28
C883317L,2021-11-05
C247649L,2021-12-05
C312859L,2022-05-05
C127811L,2022-02-28
C940970L,2022-05-18
C795657L,2022-01-03
C746973L,2021-07-11
C242328L,2022-04-19
C751424L,2021-11-16
C246762L,2022-05-08
C263339L,2022-03-28
C433996L,2022-02-17
C182772L,2022-05-07
C322065L,2022-07-10
C295434L,2022-06-07
C489717L,2022-02-13
C174733L,2022-05-14
C914093L,2021-07-04
C178431L,2022-03-17
C143684L,2021-07-05
C232406L,2021-08-01
C523551L,2022-07-12
C816989L,2022-02-03
C127081L,2022-04-22
C117258L,2022-08-01
C714124L,2022-02-26
C469190L,2021-07-21
C431468L,2022-03-09
C960097L,2022-04-10
C332182L,2022-01-23
C805823L,2021-07-16
C854425L,2022-06-19
C805886L,2022-04-13
C218121L,2021-08-14
C754752L,2022-01-24
C422663L,2022-02-14
C118563L,2022-06-07
C217246L,2022-08-04
C577176L,2022-06-01
C744990L,2022-05-21
C417245L,2022-07-26
